study_accession	n_runs	omics	study_title	cell_line	cell_type	sample_title	library_name
PRJDB17021	16	RNA-seq	RNA Sequencing of Chinese Hamster Cell lines	CHL-YN | CHK-Q	Suspension cells | Adherent cells	Total RNA of CHL-YN cells | Total RNA of CHK-Q cells | Total RNA of CHK-Q cells without PBS washing | Total RNA of CHK-Q cells, spike-in control | Total RNA of CHL-YN cells, 5x100 | Total RNA of CHK-Q cells, 5x100 | Total RNA of CHK-Q cells, 5x1000 | Total RNA of CHL-YN cells without PBS washing | Total RNA of CHK-Q cells, 5x10 | Total RNA of CHL-YN cells, 5x10000 | Total RNA of CHK-Q cells, 5x10000 | Total RNA of CHL-YN cells, spike-in control | Total RNA of CHL-YN cells, 5x10 | Total RNA of CHL-YN cells, 5x1000	RNAseq-YN | RNAseq-CHK | CHK-noPBS | CHK-C | YN-V-2 | CHK-V-2 | CHK-V-3 | Iso-seq_CHL-YN | YN-noPBS | CHK-V-1 | YN-V-4 | CHK-V-4 | YN-C | YN-V-1 | YN-V-3 | Iso-seq_CHK-Q
PRJDB40478	45	RNA-seq	Time-course RNA-seq analysis of CHL-YN cells across cell passaging	CHL-YN-2D8 | CHL-YN-4F8 | CHL-YN | CHL-YN-1B6 | CHL-YN-1C7 | CHL-YN-2C10	Suspension cells	Total RNA of CHL-YN-2d8 cell line expmeriment1 1h | Total RNA of CHL-YN-2d8 cell line expmeriment1 12h | Total RNA of CHL-YN-2d8 cell line expmeriment1 72h | Total RNA of CHL-YN-2d8 cell line expmeriment1 120h | Total RNA of CHL-YN-2d8 cell line expmeriment2 24h | Total RNA of CHL-YN-4F8 cell line 1d | Total RNA of CHL-YN cell line 1d | Total RNA of CHL-YN-1B6 cell line 2d | Total RNA of CHL-YN-2D8 cell line 4d | Total RNA of CHL-YN-4F8 cell line 4d | Total RNA of CHL-YN-4F8 cell line 1h | Total RNA of CHL-YN-4F8 cell line 6h | Total RNA of CHL-YN-2d8 cell line expmeriment1 3h | Total RNA of CHL-YN-2d8 cell line expmeriment1 24h | Total RNA of CHL-YN-2d8 cell line expmeriment2 3h | Total RNA of CHL-YN-2d8 cell line expmeriment2 6h | Total RNA of CHL-YN-1B6 cell line 1d | Total RNA of CHL-YN cell line 2d | Total RNA of CHL-YN-1B6 cell line 3d | Total RNA of CHL-YN-1C7 cell line 3d | Total RNA of CHL-YN-2C10 cell line 3d | Total RNA of CHL-YN-1B6 cell line 4d | Total RNA of CHL-YN-1C7 cell line 4d | Total RNA of CHL-YN-4F8 cell line 12h | Total RNA of CHL-YN-2d8 cell line experiment1 pre-passage | Total RNA of CHL-YN-2d8 cell line expmeriment1 6h | Total RNA of CHL-YN-2d8 cell line expmeriment1 48h | Total RNA of CHL-YN-2d8 cell line expmeriment1 96h | Total RNA of CHL-YN-2d8 cell line expmeriment2 1h | Total RNA of CHL-YN-2d8 cell line expmeriment2 12h | Total RNA of CHL-YN-2d8 cell line expmeriment2 48h | Total RNA of CHL-YN-1C7 cell line 1d | Total RNA of CHL-YN-2C10 cell line 1d | Total RNA of CHL-YN-2D8 cell line 1d | Total RNA of CHL-YN-1C7 cell line 2d | Total RNA of CHL-YN-2C10 cell line 2d | Total RNA of CHL-YN-2D8 cell line 2d | Total RNA of CHL-YN-4F8 cell line 2d | Total RNA of CHL-YN-2D8 cell line 3d | Total RNA of CHL-YN-4F8 cell line 3d | Total RNA of CHL-YN cell line 3d | Total RNA of CHL-YN-2C10 cell line 4d | Total RNA of CHL-YN cell line 4d | Total RNA of CHL-YN-4F8 cell line 2h | Total RNA of CHL-YN-4F8 cell line 24h	NA
PRJDB9148	4	RNA-seq	Comparison of gene expressions involved in tail reduction among 4 species of amniotes	NA	NA	chinese-hamster E14.5 longest-tail | chinese-hamster E15.5 reducing-tail | chinese-hamster E13.5 elongating-tail | chinese-hamster E17.5 reduced-tail	Chi_E14.5_tail | Chi_E15.5_tail | Chi_E13.5_tail | Chi_E17.5_tail
PRJEB100792	24	RNA-seq	RNA-seq experiment of V79 cells treated with UV light and incubated either in monoculture or coculture with untreated cells	V79	lung fibroblast	IA_1 | IF0_1 | IF0_3 | IFG_1 | IFG_2 | IFG_4 | UF0_4 | UFG_3 | UFG_4 | IA_2 | IF0_4 | IFG_3 | UA_2 | UA_3 | UF0_1 | UF0_2 | UFG_1 | UFG_2 | IA_3 | IA_4 | IF0_2 | UA_1 | UA_4 | UF0_3	IA_1_p | IF0_1_p | IF0_3_p | IFG_1_p | IFG_2_p | IFG_4_p | UF0_4_p | UFG_3_p | UFG_4_p | IA_2_p | IF0_4_p | IFG_3_p | UA_2_p | UA_3_p | UF0_1_p | UF0_2_p | UFG_1_p | UFG_2_p | IA_3_p | IA_4_p | IF0_2_p | UA_1_p | UA_4_p | UF0_3_p
PRJEB49939	2	RNA-seq	Delineating the meachanism of insulin resistance	NA	NA	Sensitive | Resistant	L1
PRJNA1282762	5	RNA-seq	Shotgun Genetic Engineering	NA	NA	Model organism or animal sample from Cricetulus griseus	BS28017 | BS28016 | BS27870 | RNA_Flp | BS27868
PRJNA1468945	9	RNA-seq	Rodentia Raw sequence reads	NA	NA	Model organism or animal sample from Cricetulus griseus	Cgr-NAc-3 | Cgr-mPOA-3 | Cgr-NAc-1 | Cgr-mPOA-2 | Cgr-mPFC-3 | Cgr-mPFC-1 | Cgr-NAc-2 | Cgr-mPOA-1 | Cgr-mPFC-2
PRJNA214684	3	RNA-seq	Cricetulus griseus Transcriptome or Gene expression	NA	NA	CCL39 cells 1 | CCL39 cells 2 | CCL39 cells 3	LIB_0000_2709 | LIB_0000_2710 | LIB_0000_2711
PRJNA255418	4	RNA-seq	Mre11 suppresses replication stress and gene amplification proficiency	NA	NA	Mre11-KD sample A | Control sample A | Control sample B | Mre11-KD sample B	NA
PRJNA488640	8	RNA-seq	Efferocytosis induces a novel SLC program to promote glucose uptake and lactate release	NA	LR73 | LR73 co-cultured with apoptotic Jurkat lymphoma cells	Phagocytes alone 3 | Phagocytes + Apoptotic Cells 3 | Phagocytes alone 1 | Phagocytes + Apoptotic Cells 1 | Phagocytes alone 2 | Phagocytes alone 4 | Phagocytes + Apoptotic Cells 2 | Phagocytes + Apoptotic Cells 4	NA
