analysis_id	study_accession	ip_run_accession	control_run_accession	declared_target	library_layout	peak_mode	format	qvalue	broad_cutoff	keep_dup	scale_to	spmr	store_bdg	call_summits	cutoff_analysis	mitochondrial_accession	effective_genome_size_policy	fragment_size_policy	fragment_size_bp	fragment_size_status	macs3_model	fragment_size_basis	execution_status	evidence_type	source_doi	evidence_note	source_url
ERR868151	PRJEB9291	ERR868151	ERR868150	H3K4me3	SINGLE	narrow	BAM	0.01		all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990		https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868152	PRJEB9291	ERR868152	ERR868150	H3K9me3	SINGLE	broad	BAM	0.01	0.1	all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990	Interpreted from the paper's apparent H3K4me9 typographical error because the experimental mark set contains H3K9me3, not H3K4me9.	https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868153	PRJEB9291	ERR868153	ERR868150	H3K4me1	SINGLE	broad	BAM	0.01	0.1	all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990		https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868154	PRJEB9291	ERR868154	ERR868150	H3K27me3	SINGLE	broad	BAM	0.01	0.1	all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990		https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868155	PRJEB9291	ERR868155	ERR868150	H3K27ac	SINGLE	narrow	BAM	0.01		all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990		https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868156	PRJEB9291	ERR868156	ERR868150	H3K36me3	SINGLE	broad	BAM	0.01	0.1	all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990		https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868171	PRJEB9291	ERR868171	ERR868177	H3K27ac	SINGLE	narrow	BAM	0.01		all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990		https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868172	PRJEB9291	ERR868172	ERR868177	H3K27me3	SINGLE	broad	BAM	0.01	0.1	all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990		https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868173	PRJEB9291	ERR868173	ERR868177	H3K36me3	SINGLE	broad	BAM	0.01	0.1	all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990		https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868174	PRJEB9291	ERR868174	ERR868177	H3K4me1	SINGLE	broad	BAM	0.01	0.1	all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990		https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868175	PRJEB9291	ERR868175	ERR868177	H3K4me3	SINGLE	narrow	BAM	0.01		all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990		https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
ERR868176	PRJEB9291	ERR868176	ERR868177	H3K9me3	SINGLE	broad	BAM	0.01	0.1	all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	phantompeakqualtools		requires_estimation	external_fixed_after_estimation	source_study_fragment_size_modeled_with_PhantomPeakQualTools	requires_fragment_estimation	publication_methods	10.1002/bit.25990	Interpreted from the paper's apparent H3K4me9 typographical error because the experimental mark set contains H3K9me3, not H3K4me9.	https://onlinelibrary.wiley.com/doi/10.1002/bit.25990
SRR20770291	PRJNA865478	SRR20770291	SRR20770295	H3K27ac	SINGLE	narrow	BAM	0.01		all	small	true	true	false	false	NC_007936.1	derive_nuclear_reference_span_from_fai_excluding_mitochondrial_contig	fixed	147	resolved	fixed	source_study_MACS2_nomodel_extsize_147	ready_for_peak_calling	publication_methods	10.3389/fbioe.2022.1010719		https://www.frontiersin.org/journals/bioengineering-and-biotechnology/articles/10.3389/fbioe.2022.1010719/full
