decision_id	run_accession	study_accession	sample_accession	identity_status	protocol_status	evidence	reference	review_date
RUN001	DRR706774	PRJDB35724	SAMD01599745	non_target		Sample-level cell_line CHL-YN and tissue Lung identify a non-CHO lineage.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD01599745	2026-09-14
RUN002	DRR706775	PRJDB35724	SAMD01599746	non_target		Sample-level cell_line CHL-YN and tissue Lung identify a non-CHO lineage.	https://www.ebi.ac.uk/ena/browser/api/xml/SAMD01599746	2026-09-14
RUN003	SRR12774929	PRJNA667472	SAMN16373830	non_target		Sample-level tissue/source metadata identifies non-CHO material: Bone marrow-derived macrophages	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373830	2026-09-14
RUN004	SRR12774930	PRJNA667472	SAMN16373836	non_target		Sample-level tissue/source metadata identifies non-CHO material: Brain	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373836	2026-09-14
RUN005	SRR12774934	PRJNA667472	SAMN16373828	non_target		Sample-level tissue/source metadata identifies non-CHO material: Liver	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373828	2026-09-14
RUN006	SRR12774936	PRJNA667472	SAMN16373826	non_target		Sample-level tissue/source metadata identifies non-CHO material: Spleen; blood	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373826	2026-09-14
RUN007	SRR24650938	PRJNA974014	SAMN35159461		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431000	2026-09-14
RUN008	SRR24650959	PRJNA974014	SAMN35159466		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430979	2026-09-14
RUN009	SRR24650983	PRJNA974014	SAMN35159474		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430955	2026-09-14
RUN010	SRR24650987	PRJNA974014	SAMN35159478		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430951	2026-09-14
RUN011	SRR24650990	PRJNA974014	SAMN35159481		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20430948	2026-09-14
RUN012	SRR12774933	PRJNA667472	SAMN16373833	non_target		Sample-level tissue/source metadata identifies non-CHO material: Kidney	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373833	2026-09-14
RUN013	SRR12774935	PRJNA667472	SAMN16373827	non_target		Sample-level tissue/source metadata identifies non-CHO material: Lung	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373827	2026-09-14
RUN014	SRR12774955	PRJNA667472	SAMN16373838	non_target		Sample-level tissue/source metadata identifies non-CHO material: FemaleReproductive	https://www.ebi.ac.uk/ena/browser/api/xml/SAMN16373838	2026-09-14
RUN015	SRR24650912	PRJNA974014	SAMN35159450		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431026	2026-09-14
RUN016	SRR24650913	PRJNA974014	SAMN35159451		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431025	2026-09-14
RUN017	SRR24650915	PRJNA974014	SAMN35159453		bulk_confirmed	Run-linked protocol extracts RNA from a cell population and uses NEBNext Ultra II RNA library preparation; Single-Cell in the sample name does not describe library resolution.	https://www.ebi.ac.uk/ena/browser/api/xml/SRX20431023	2026-09-14
