study_accession	study_title	sample_title	experiment_title	library_name	cell_line	cell_type	omics
PRJDB9148	Comparison of gene expressions involved in tail reduction among 4 species of amniotes	chinese-hamster E13.5 elongating-tail	Illumina NovaSeq 6000 paired end sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00199247	Chi_E13.5_tail			RNA-seq
PRJDB9148	Comparison of gene expressions involved in tail reduction among 4 species of amniotes	chinese-hamster E14.5 longest-tail	Illumina NovaSeq 6000 paired end sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00199248	Chi_E14.5_tail			RNA-seq
PRJDB9148	Comparison of gene expressions involved in tail reduction among 4 species of amniotes	chinese-hamster E15.5 reducing-tail	Illumina NovaSeq 6000 paired end sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00199249	Chi_E15.5_tail			RNA-seq
PRJDB9148	Comparison of gene expressions involved in tail reduction among 4 species of amniotes	chinese-hamster E17.5 reduced-tail	Illumina NovaSeq 6000 paired end sequencing: Illumina NovaSeq 6000 paired end sequencing of SAMD00199253	Chi_E17.5_tail			RNA-seq
PRJEB49939	Delineating the meachanism of insulin resistance	Resistant	Illumina HiSeq 2500 sequencing	L1			RNA-seq
PRJEB49939	Delineating the meachanism of insulin resistance	Sensitive	Illumina HiSeq 2500 sequencing	L1			RNA-seq
PRJNA1282762	Shotgun Genetic Engineering	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq X Plus sequencing: RNA-Seq of Engineered Cricetulus griseus clone: female ovary	BS28017			RNA-seq
PRJNA1282762	Shotgun Genetic Engineering	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq X Plus sequencing: RNA-Seq of Engineered Cricetulus griseus clone: female ovary	BS28016			RNA-seq
PRJNA1282762	Shotgun Genetic Engineering	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq X Plus sequencing: RNA-Seq of Engineered Cricetulus griseus clone: female ovary	BS27870			RNA-seq
PRJNA1282762	Shotgun Genetic Engineering	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq X Plus sequencing: RNA-Seq of Cricetulus griseus: female ovary	RNA_Flp			RNA-seq
PRJNA1282762	Shotgun Genetic Engineering	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq X Plus sequencing: RNA-Seq of Engineered Cricetulus griseus clone: female ovary	BS27868			RNA-seq
PRJNA1468945	Rodentia Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: NAc	Cgr-NAc-3			RNA-seq
PRJNA1468945	Rodentia Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: mPOA	Cgr-mPOA-3			RNA-seq
PRJNA1468945	Rodentia Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: NAc	Cgr-NAc-1			RNA-seq
PRJNA1468945	Rodentia Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: mPOA	Cgr-mPOA-2			RNA-seq
PRJNA1468945	Rodentia Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: mPFC	Cgr-mPFC-3			RNA-seq
PRJNA1468945	Rodentia Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: mPFC	Cgr-mPFC-1			RNA-seq
PRJNA1468945	Rodentia Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: NAc	Cgr-NAc-2			RNA-seq
PRJNA1468945	Rodentia Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: mPOA	Cgr-mPOA-1			RNA-seq
PRJNA1468945	Rodentia Raw sequence reads	Model organism or animal sample from Cricetulus griseus	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: mPFC	Cgr-mPFC-2			RNA-seq
PRJNA214684	Cricetulus griseus Transcriptome or Gene expression	CCL39 cells 1	Illumina HiSeq 2000 paired end sequencing: RNA-seq of chinese hamster CCL39 cell lines (replicate 1)	LIB_0000_2709			RNA-seq
PRJNA214684	Cricetulus griseus Transcriptome or Gene expression	CCL39 cells 2	Illumina HiSeq 2000 paired end sequencing: RNA-Seq of chinese hamster CCL39 cell lines (replicate 2)	LIB_0000_2710			RNA-seq
PRJNA214684	Cricetulus griseus Transcriptome or Gene expression	CCL39 cells 3	Illumina HiSeq 2000 paired end sequencing: RNA-Seq of chinese hamster CCL39 cell lines (replicate 3)	LIB_0000_2711			RNA-seq
PRJNA255418	Mre11 suppresses replication stress and gene amplification proficiency	Control sample A	Illumina Genome Analyzer IIx sequencing: GSM1437747: Control sample A Cricetulus griseus RNA-Seq				RNA-seq
PRJNA255418	Mre11 suppresses replication stress and gene amplification proficiency	Control sample B	Illumina Genome Analyzer IIx sequencing: GSM1437749: Control sample B Cricetulus griseus RNA-Seq				RNA-seq
PRJNA255418	Mre11 suppresses replication stress and gene amplification proficiency	Mre11-KD sample A	Illumina Genome Analyzer IIx sequencing: GSM1437748: Mre11-KD sample A Cricetulus griseus RNA-Seq				RNA-seq
PRJNA255418	Mre11 suppresses replication stress and gene amplification proficiency	Mre11-KD sample B	Illumina Genome Analyzer IIx sequencing: GSM1437750: Mre11-KD sample B Cricetulus griseus RNA-Seq				RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine10_2R	29			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine10_1R	28			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine7_C	21			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine8_2R	23			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue1_C_1_of_3	47			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue1_D_1_of_3	48			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine15_7	45			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine15_2	43			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine15_3	44			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine14_3	42			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue6_C_1_of_2	62			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue7_B_1_of_3	64			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue7_D_1_of_3	66			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue2_B_1_of_3	49			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue2_C_1_of_3	50			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: negctrl	67			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine7_A	19			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine5_A	13			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine6_2	17			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine11_3R	33			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine11_2R	32			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine11_1R	31			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine13_2R	38			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine13_1R	37			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine12_3R	36			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine12_2R	35			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine14_1	40			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue4_C_1_of_3	56			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine1_3	3			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine1_2	2			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine2_3	6			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue5_B_1_of_3	58			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue2_D_1_of_3	51			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine9_1R	25			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine9_2R	26			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine9_3R	27			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine8_1R	22			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue3_D_1_of_3	54			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: posRNActrl	68			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine7_B	20			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine4_2	11			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: CellLine12_1R	34			RNA-seq
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	Model organism or animal sample from Cricetulus griseus	Illumina HiSeq 2500 sequencing: Tissue5_D_1_of_3	60			RNA-seq
