run_accession	study_accession	sample_accession	experiment_accession	omics	library_strategy	library_layout	cell_line	cell_type	target_evidence	target_status
ERR15232639	PRJEB91924	SAMEA118679754	ERX14638330	RNA-seq	RNA-Seq	SINGLE	CCL-61		True	target
ERR15232640	PRJEB91924	SAMEA118679753	ERX14638331	RNA-seq	RNA-Seq	SINGLE	CCL-61		True	target
ERR15232641	PRJEB91924	SAMEA118679752	ERX14638332	RNA-seq	RNA-Seq	SINGLE	CCL-61		True	target
ERR15232642	PRJEB91924	SAMEA118679751	ERX14638333	RNA-seq	RNA-Seq	SINGLE	CCL-61		True	target
SRR39497722	PRJNA1489724	SAMN61409210	SRX34192516	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39497723	PRJNA1489724	SAMN61409209	SRX34192515	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39497724	PRJNA1489724	SAMN61409207	SRX34192514	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39499716	PRJNA1489724	SAMN61409214	SRX34194511	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39499717	PRJNA1489724	SAMN61409213	SRX34194510	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39499718	PRJNA1489724	SAMN61409212	SRX34194509	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39499719	PRJNA1489724	SAMN61409211	SRX34194508	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39503241	PRJNA1489724	SAMN61409218	SRX34197920	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39503242	PRJNA1489724	SAMN61409217	SRX34197919	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39503243	PRJNA1489724	SAMN61409216	SRX34197918	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39503244	PRJNA1489724	SAMN61409215	SRX34197917	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39505007	PRJNA1489724	SAMN61409222	SRX34199678	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39505008	PRJNA1489724	SAMN61409221	SRX34199677	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39505009	PRJNA1489724	SAMN61409220	SRX34199676	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39505010	PRJNA1489724	SAMN61409219	SRX34199675	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39506912	PRJNA1489724	SAMN61409226	SRX34201582	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39506913	PRJNA1489724	SAMN61409225	SRX34201581	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39506914	PRJNA1489724	SAMN61409224	SRX34201580	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39506915	PRJNA1489724	SAMN61409223	SRX34201579	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39511191	PRJNA1489724	SAMN61409229	SRX34203864	RNA-seq	RNA-Seq	PAIRED	CHO DG44		True	target
SRR39561849	PRJNA1492564	SAMN61510926	SRX34250725	RNA-seq	RNA-Seq	PAIRED	CHO-S/HB8-Ags#18	Chinese hamster ovary cell	True	target
SRR39561850	PRJNA1492564	SAMN61510925	SRX34250724	RNA-seq	RNA-Seq	PAIRED	CHO-S/HB8-Ags#18	Chinese hamster ovary cell	True	target
SRR39561851	PRJNA1492564	SAMN61510924	SRX34250723	RNA-seq	RNA-Seq	PAIRED	CHO-S/HB8-Ags#18	Chinese hamster ovary cell	True	target
SRR39561852	PRJNA1492564	SAMN61510923	SRX34250722	RNA-seq	RNA-Seq	PAIRED	CHO-S/HB8-Ags#18	Chinese hamster ovary cell	True	target
SRR39561853	PRJNA1492564	SAMN61510922	SRX34250721	RNA-seq	RNA-Seq	PAIRED	CHO 4BGD/Dul#73	Chinese hamster ovary cell	True	target
SRR39561854	PRJNA1492564	SAMN61510921	SRX34250720	RNA-seq	RNA-Seq	PAIRED	CHO 4BGD/Dul#73	Chinese hamster ovary cell	True	target
SRR39561855	PRJNA1492564	SAMN61510920	SRX34250719	RNA-seq	RNA-Seq	PAIRED	CHO 4BGD/Dul#73	Chinese hamster ovary cell	True	target
SRR39561856	PRJNA1492564	SAMN61510919	SRX34250718	RNA-seq	RNA-Seq	PAIRED	CHO 4BGD/Dul#73	Chinese hamster ovary cell	True	target
SRR39561857	PRJNA1492564	SAMN61510928	SRX34250717	RNA-seq	RNA-Seq	PAIRED	CHO-S/HB8-Ags#18	Chinese hamster ovary cell	True	target
SRR39561858	PRJNA1492564	SAMN61510927	SRX34250716	RNA-seq	RNA-Seq	PAIRED	CHO-S/HB8-Ags#18	Chinese hamster ovary cell	True	target
SRR39561859	PRJNA1492564	SAMN61510918	SRX34250715	RNA-seq	RNA-Seq	PAIRED	CHO 4BGD/Dul#73	Chinese hamster ovary cell	True	target
SRR39561860	PRJNA1492564	SAMN61510917	SRX34250714	RNA-seq	RNA-Seq	PAIRED	CHO 4BGD/Dul#73	Chinese hamster ovary cell	True	target
