run_accession	study_accession	sample_accession	experiment_accession	scientific_name	tax_id	study_title	sample_title	experiment_title	library_name	cell_line	cell_type	library_strategy	library_source	library_selection	library_layout	instrument_platform	instrument_model	fastq_ftp	fastq_md5	fastq_bytes
DRR048760	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048760/DRR048760.fastq.gz	9ef91446a0d7baf0f9e2266440b55560	56324213
DRR048766	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048766/DRR048766.fastq.gz	e406080196bab9bf3765f6ff79119a36	63407543
DRR048771	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048771/DRR048771.fastq.gz	927780612e6fb1b8ab0ba72c1130ef84	61054457
DRR048773	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048773/DRR048773.fastq.gz	61fa132e70d4661c94c00c7f422bffaf	58300237
DRR048775	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048775/DRR048775.fastq.gz	b3059a72e6d3b278c1a8050d1d489bde	51519006
DRR048777	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048777/DRR048777.fastq.gz	605e1499191c3d45ec9d6421bde58fca	64469897
DRR048780	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048780/DRR048780.fastq.gz	8d170f1ead7956a1e4d91be0f446354b	64994816
DRR048783	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048783/DRR048783.fastq.gz	36bf9c5db411dfcb037a4d0f00ba4c44	62366751
DRR048785	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048785/DRR048785.fastq.gz	dc30ea38ed529fcb162fd79bd4907ffd	58594391
DRR048788	PRJDB4351	SAMD00042834	DRX044042	Cricetulus griseus	10029	CHO cells	CHO cells D4	NextSeq 500 sequencing: NextSeq 500 sequencing of SAMD00042834	Quartz-Seq CHO D4	CHO-K1	suspended	WGS	TRANSCRIPTOMIC	RT-PCR	SINGLE	ILLUMINA	NextSeq 500	ftp.sra.ebi.ac.uk/vol1/fastq/DRR048/DRR048788/DRR048788.fastq.gz	0fc3867bd0c954a13061556b50158506	68823629
