study_accession	sample_accession	experiment_accession	run_accession	omics	library_strategy	library_layout	processing_layout	fastq_structure	fastq_role	file_index	filename	fastq_ftp	fastq_md5	fastq_bytes
PRJDB5737	SAMD00079372	DRX085010	DRR091440	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR091440.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR091/DRR091440/DRR091440.fastq.gz	af6cd5c5e3cc49cb1d47fa17b3a60efc	1175631746
PRJDB5831	SAMD00082623	DRX087371	DRR093875	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	DRR093875_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR093/DRR093875/DRR093875_1.fastq.gz	47b9a8a8b5e40cbc23607f3b1ddd192a	3662709413
PRJDB5831	SAMD00082623	DRX087371	DRR093875	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	DRR093875_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR093/DRR093875/DRR093875_2.fastq.gz	349744544a6076852c0da931ed306847	3642917887
PRJDB5897	SAMD00084267	DRX090092	DRR096596	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR096596.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR096/DRR096596/DRR096596.fastq.gz	83edfa7488fe4041494f5fb2677577b6	1980526373
PRJDB5897	SAMD00084270	DRX090095	DRR096599	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR096599.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR096/DRR096599/DRR096599.fastq.gz	a63222b00bd3aeda051381572d01201b	2034531875
PRJDB6126	SAMD00089406	DRX092931	DRR099453	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR099453.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099453/DRR099453.fastq.gz	b1eaca88de808cefeb358419b3d826d2	279260312
PRJDB6126	SAMD00089408	DRX092933	DRR099455	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR099455.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099455/DRR099455.fastq.gz	43b0a0380bb8bc9e8196385dd16c21bd	275626851
PRJDB6126	SAMD00089421	DRX092946	DRR099468	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR099468.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099468/DRR099468.fastq.gz	65df80a2bdd07cdf45de48a965bcd6d9	280290644
PRJDB6126	SAMD00089427	DRX092952	DRR099474	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR099474.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099474/DRR099474.fastq.gz	aa54b1988a33949304d0f4d346af6a55	301190983
PRJDB6126	SAMD00089429	DRX092954	DRR099476	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR099476.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099476/DRR099476.fastq.gz	26c24b5eebc76b61ced2439ef0f5b5df	284701307
PRJDB6126	SAMD00089433	DRX092958	DRR099480	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR099480.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099480/DRR099480.fastq.gz	64c96ca79ea0ec9e983bd64d7e5be0ea	299720418
PRJDB6126	SAMD00089444	DRX092969	DRR099491	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR099491.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099491/DRR099491.fastq.gz	2b35a6eb0d13a5e9caf4549e837152ec	292200877
PRJDB6126	SAMD00089453	DRX092978	DRR099500	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR099500.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR099/DRR099500/DRR099500.fastq.gz	e4635668357cce92c284f4fe885f28f0	299700996
PRJDB6793	SAMD00113898	DRX119132	DRR126388	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR126388.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR126/DRR126388/DRR126388.fastq.gz	2d17c02c1058ec51b6da83363f2f6f04	488290152
PRJDB6793	SAMD00113899	DRX119133	DRR126389	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR126389.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR126/DRR126389/DRR126389.fastq.gz	41f325e0024a2b4b9d7ed17dda9f5e04	362434288
PRJDB6793	SAMD00113913	DRX119147	DRR126403	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR126403.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR126/DRR126403/DRR126403.fastq.gz	91afbaef4e857b3e5248cd9d8b8c27a1	299951827
PRJDB6793	SAMD00113917	DRX119151	DRR126407	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR126407.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR126/DRR126407/DRR126407.fastq.gz	611b58d3309ac0220d8554a8b85a3baf	386741618
PRJDB6793	SAMD00113919	DRX119153	DRR126409	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR126409.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR126/DRR126409/DRR126409.fastq.gz	a9b04d905441b499c82158184eaa0069	314474229
PRJDB6793	SAMD00113920	DRX119154	DRR126410	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR126410.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR126/DRR126410/DRR126410.fastq.gz	89b743286f6d71fd94c17bb7704d9f21	211809642
PRJDB6793	SAMD00113923	DRX119157	DRR126413	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR126413.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR126/DRR126413/DRR126413.fastq.gz	68e23f14af7bbe63f49dcb11a92a21b9	260939156
PRJDB7873	SAMD00156503	DRX155564	DRR164945	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR164945.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR164/DRR164945/DRR164945.fastq.gz	9373d6ca1bf603ea53dead38f330acc0	792574682
PRJDB7873	SAMD00156504	DRX155565	DRR164946	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR164946.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR164/DRR164946/DRR164946.fastq.gz	98da5a4954fdd344ac9aac3cc985cb2e	887589228
PRJDB7873	SAMD00156509	DRX155570	DRR164951	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR164951.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR164/DRR164951/DRR164951.fastq.gz	bba39182d02cc0e8dc5b60f6294c36a8	809831061
PRJDB7945	SAMD00159362	DRX159893	DRR169279	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR169279.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR169/DRR169279/DRR169279.fastq.gz	5d5c57118293dff2f8a908e608d57c3c	476894961
PRJDB7945	SAMD00159364	DRX159895	DRR169281	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR169281.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR169/DRR169281/DRR169281.fastq.gz	14234249994832db4b7ab2f5aff82742	332776798
PRJDB7945	SAMD00159367	DRX159898	DRR169284	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR169284.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR169/DRR169284/DRR169284.fastq.gz	b5270d1a8625be06dde674891f12d2c8	646494796
PRJDB7945	SAMD00159375	DRX159906	DRR169292	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR169292.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR169/DRR169292/DRR169292.fastq.gz	741079e62eae28440a6759646c68cc60	321382187
PRJDB7945	SAMD00159378	DRX159909	DRR169295	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR169295.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR169/DRR169295/DRR169295.fastq.gz	bf581028a3ccd88582691f59684f1d2e	670253576
PRJDB7945	SAMD00159383	DRX159914	DRR169300	RNA-seq	RNA-Seq	SINGLE	SINGLE	SINGLE	SINGLE	1	DRR169300.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR169/DRR169300/DRR169300.fastq.gz	6775b8ed87c7f296de72023b7baf4d6a	598116563
PRJDB17021	SAMD00731281	DRX508495	DRR524613	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	DRR524613_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR524/DRR524613/DRR524613_1.fastq.gz	2018f474161faf0954d8bcadbee0e660	1422353890
PRJDB17021	SAMD00731281	DRX508495	DRR524613	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	DRR524613_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR524/DRR524613/DRR524613_2.fastq.gz	92b21332d9e754beae010928bbcbc352	1423052692
PRJDB17021	SAMD00731289	DRX508503	DRR524621	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	DRR524621_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR524/DRR524621/DRR524621_1.fastq.gz	af17e4d37f59cc6c1a56140cf292077f	1801468117
PRJDB17021	SAMD00731289	DRX508503	DRR524621	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	DRR524621_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR524/DRR524621/DRR524621_2.fastq.gz	29817afd00ed49b7bf58d39f9b2404e9	1802519959
PRJDB17021	SAMD00731296	DRX508510	DRR524628	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R1	1	DRR524628_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR524/DRR524628/DRR524628_1.fastq.gz	762a768b1aacf7876a9a3ce34d5a2ca3	1578555575
PRJDB17021	SAMD00731296	DRX508510	DRR524628	RNA-seq	RNA-Seq	PAIRED	PAIRED	PAIRED	R2	2	DRR524628_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/DRR524/DRR524628/DRR524628_2.fastq.gz	89f415b5d62c33fad78d44570b3665d3	1579425588
