study_accession	study_title	n_records
PRJNA938154	Deciphering the determinants of recombinant protein yield across the human secretome	96
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	72
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	68
PRJDB40478	Time-course RNA-seq analysis of CHL-YN cells across cell passaging	45
PRJNA545135	Interpreting an apoptotic corpse as anti-inflammatory involves a chloride sensing pathway	24
PRJEB100792	RNA-seq experiment of V79 cells treated with UV light and incubated either in monoculture or coculture with untreated cells	24
PRJNA601957	Comprehensive analysis of mRNA and lncRNA transcriptomes reveals the differentially hypoxic response of preadipocytes during adipogenesis	20
PRJDB17021	RNA Sequencing of Chinese Hamster Cell lines	16
PRJNA545309	Apoptotic cells actively release metabolite messanger with anti-inflammatory properties	12
PRJNA623056	Cricetulus griseus Raw sequence reads	12
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	12
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	9
PRJNA1468945	Rodentia Raw sequence reads	9
PRJNA488640	Efferocytosis induces a novel SLC program to promote glucose uptake and lactate release	8
PRJNA564074	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	8
PRJNA824784	Divergent composition and transposon-silencing activity of small RNAs in mammalian oocytes	7
PRJNA1282762	Shotgun Genetic Engineering	5
PRJNA255418	Mre11 suppresses replication stress and gene amplification proficiency	4
PRJDB9148	Comparison of gene expressions involved in tail reduction among 4 species of amniotes	4
PRJNA512907	DNA Zoo	4
PRJNA763926	Murine mast cell and mastocytoma transcriptome	3
PRJNA214684	Cricetulus griseus Transcriptome or Gene expression	3
PRJEB49939	Delineating the meachanism of insulin resistance	2
PRJNA882483	De novo emergence, existence, and demise of a protein-coding gene in murids [chinese hamster]	2
