study_accession	study_title	n_records
PRJNA604220	Multiplex secretome engineering enhances recombinant protein production and purity	72
PRJNA504034	Annotation improvement and retroviral element discovery in the Chinese hamster genome using proteogenomics	68
PRJNA580502	RNAseq and DNAseq data for tree shrew, hamster, guinea pig, sheep, cow, pig, hedgehog, armadillo, and tenrec Raw sequence reads	12
PRJNA1468945	Rodentia Raw sequence reads	9
PRJNA649238	Chinese hamster (Cricetulus griseus) V79 cells grown under below-background radiation	9
PRJNA564074	Voltage-gated sodium channel (VGSC) beta1 subunit-intracellular domain (Beta1-ICD) overexpression in Chinese hamster lung cells	8
PRJNA824784	Divergent composition and transposon-silencing activity of small RNAs in mammalian oocytes	7
PRJNA1282762	Shotgun Genetic Engineering	5
PRJNA512907	DNA Zoo	4
PRJDB9148	Comparison of gene expressions involved in tail reduction among 4 species of amniotes	4
PRJNA255418	Mre11 suppresses replication stress and gene amplification proficiency	4
PRJNA763926	Murine mast cell and mastocytoma transcriptome	3
PRJNA214684	Cricetulus griseus Transcriptome or Gene expression	3
PRJEB49939	Delineating the meachanism of insulin resistance	2
PRJNA882483	De novo emergence, existence, and demise of a protein-coding gene in murids [chinese hamster]	2
