field	value	n_records	n_studies
cell_line	ChA27	3	1
experiment_title	Illumina HiSeq 1500 sequencing: V79 cells grown under below background ionizing radiation	9	1
experiment_title	Illumina NovaSeq X Plus sequencing: RNA-Seq of Engineered Cricetulus griseus clone: female ovary	4	1
experiment_title	NextSeq 500 sequencing: GSM4292486: WT-Rituximab-Day4_rep1 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292487: WT-Rituximab-Day6_rep1 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292488: WT-Rituximab-Day8_rep1 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292489: WT-Rituximab-Day4_rep2 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292490: WT-Rituximab-Day6_rep2 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292491: WT-Rituximab-Day8_rep2 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292492: 6X-Rituximab-Day4_rep1 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292493: 6X-Rituximab-Day6_rep1 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292494: 6X-Rituximab-Day8_rep1 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292495: 6X-Rituximab-Day4_rep2 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292496: 6X-Rituximab-Day6_rep2 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292497: 6X-Rituximab-Day8_rep2 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292498: 11X-Rituximab-Day4_rep1 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292499: 11X-Rituximab-Day6_rep1 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292500: 11X-Rituximab-Day8_rep1 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292501: 11X-Rituximab-Day4_rep2 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292502: 11X-Rituximab-Day6_rep2 Cricetulus griseus RNA-Seq	4	1
experiment_title	NextSeq 500 sequencing: GSM4292503: 11X-Rituximab-Day8_rep2 Cricetulus griseus RNA-Seq	4	1
experiment_title	Illumina HiSeq 4000 sequencing: RNA-Seq of Cricetulus griseus:ovary cells	3	1
experiment_title	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: NAc	3	1
experiment_title	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: mPFC	3	1
experiment_title	Illumina NovaSeq 6000 sequencing: RNA-seq of Cricetulus griseus: mPOA	3	1
experiment_title	Illumina HiSeq 2500 sequencing	2	1
experiment_title	NextSeq 550 sequencing: ATAC-seq of Cricetulus griseus DNA Zoo Sample2409	2	1
experiment_title	NextSeq 550 sequencing: ATAC-seq of Cricetulus griseus DNA Zoo Sample2592	2	1
experiment_title	Illumina Genome Analyzer IIx sequencing: GSM1437747: Control sample A Cricetulus griseus RNA-Seq	1	1
experiment_title	Illumina Genome Analyzer IIx sequencing: GSM1437748: Mre11-KD sample A Cricetulus griseus RNA-Seq	1	1
