analysis_id	study	ip_run	control_run	target	peak_mode	fragment_size_bp	reference_assembly	reference_accession	mitochondrial_accession	nuclear_reference_span_bp	peak_file_relative_path	peak_file_type	treat_signal_relative_path	control_lambda_relative_path	peak_qvalue	broad_cutoff	keep_dup	blacklist_status	replicate_concordance_status	frip	input_overlap_fraction	manifest_sha256	production_commit	final_status
ERR868151	PRJEB9291	ERR868151	ERR868150	H3K4me3	narrow	160	CriGri-PICRH-1.0	GCF_003668045.3	NC_007936.1	2366634374	results/chipseq/production/analyses/ERR868151/artifacts/peaks/ERR868151_peaks.narrowPeak	narrowPeak	results/chipseq/production/analyses/ERR868151/artifacts/peaks/ERR868151_treat_pileup.bdg.gz	results/chipseq/production/analyses/ERR868151/artifacts/peaks/ERR868151_control_lambda.bdg.gz	0.01	NA	all	not_performed	not_performed_or_not_supported_by_validated_groups	0.8100630592674084	0.03111546815499335	c35c86397eaaaa55aedff91741eda80706104739c7e1fa979bb0430956da8650	fb62508d51efa41ab73067ba7ca57966516cd5f9	PASS
ERR868152	PRJEB9291	ERR868152	ERR868150	H3K9me3	broad	155	CriGri-PICRH-1.0	GCF_003668045.3	NC_007936.1	2366634374	results/chipseq/production/analyses/ERR868152/artifacts/peaks/ERR868152_peaks.broadPeak	broadPeak	results/chipseq/production/analyses/ERR868152/artifacts/peaks/ERR868152_treat_pileup.bdg.gz	results/chipseq/production/analyses/ERR868152/artifacts/peaks/ERR868152_control_lambda.bdg.gz	0.01	0.1	all	not_performed	not_performed_or_not_supported_by_validated_groups	0.26331352243760886	0.0589303557655073	df4d9df66484e98b535063d195b6ef7964d76647844711e2e376b132c8e62f5e	fb62508d51efa41ab73067ba7ca57966516cd5f9	PASS
ERR868153	PRJEB9291	ERR868153	ERR868150	H3K4me1	broad	145	CriGri-PICRH-1.0	GCF_003668045.3	NC_007936.1	2366634374	results/chipseq/production/analyses/ERR868153/artifacts/peaks/ERR868153_peaks.broadPeak	broadPeak	results/chipseq/production/analyses/ERR868153/artifacts/peaks/ERR868153_treat_pileup.bdg.gz	results/chipseq/production/analyses/ERR868153/artifacts/peaks/ERR868153_control_lambda.bdg.gz	0.01	0.1	all	not_performed	not_performed_or_not_supported_by_validated_groups	0.5809462567104448	0.09561906938783263	ca06dab3d0d29c5a7a14eee48bf2b41c3603a2af1cd79fb6d345c6d7c58d0225	fb62508d51efa41ab73067ba7ca57966516cd5f9	PASS
ERR868154	PRJEB9291	ERR868154	ERR868150	H3K27me3	broad	145	CriGri-PICRH-1.0	GCF_003668045.3	NC_007936.1	2366634374	results/chipseq/production/analyses/ERR868154/artifacts/peaks/ERR868154_peaks.broadPeak	broadPeak	results/chipseq/production/analyses/ERR868154/artifacts/peaks/ERR868154_treat_pileup.bdg.gz	results/chipseq/production/analyses/ERR868154/artifacts/peaks/ERR868154_control_lambda.bdg.gz	0.01	0.1	all	not_performed	not_performed_or_not_supported_by_validated_groups	0.1882587741315659	0.042102169550220475	2cba2420c0c96ecf69babc4711f41dbe2e22e9e89d12ed91790ee071ba3a1340	fb62508d51efa41ab73067ba7ca57966516cd5f9	PASS
ERR868155	PRJEB9291	ERR868155	ERR868150	H3K27ac	narrow	215	CriGri-PICRH-1.0	GCF_003668045.3	NC_007936.1	2366634374	results/chipseq/production/analyses/ERR868155/artifacts/peaks/ERR868155_peaks.narrowPeak	narrowPeak	results/chipseq/production/analyses/ERR868155/artifacts/peaks/ERR868155_treat_pileup.bdg.gz	results/chipseq/production/analyses/ERR868155/artifacts/peaks/ERR868155_control_lambda.bdg.gz	0.01	NA	all	not_performed	not_performed_or_not_supported_by_validated_groups	0.6652697397555107	0.03291845866601388	b0e4699f4d3de449d5a71f0b1a07513a796c82466d801f5a59513dc30beaf289	290c35dcec4b76c258b2788a4adbc6940654d04f	PASS
ERR868156	PRJEB9291	ERR868156	ERR868150	H3K36me3	broad	185	CriGri-PICRH-1.0	GCF_003668045.3	NC_007936.1	2366634374	results/chipseq/production/analyses/ERR868156/artifacts/peaks/ERR868156_peaks.broadPeak	broadPeak	results/chipseq/production/analyses/ERR868156/artifacts/peaks/ERR868156_treat_pileup.bdg.gz	results/chipseq/production/analyses/ERR868156/artifacts/peaks/ERR868156_control_lambda.bdg.gz	0.01	0.1	all	not_performed	not_performed_or_not_supported_by_validated_groups	0.7556754694757272	0.10535112943440703	714dfcd0cab5829ed19884dab677ebad7779ea3ac81203a7289a9ab1a7b2a21f	290c35dcec4b76c258b2788a4adbc6940654d04f	PASS
ERR868171	PRJEB9291	ERR868171	ERR868177	H3K27ac	narrow	155	CriGri-PICRH-1.0	GCF_003668045.3	NC_007936.1	2366634374	results/chipseq/production/analyses/ERR868171/artifacts/peaks/ERR868171_peaks.narrowPeak	narrowPeak	results/chipseq/production/analyses/ERR868171/artifacts/peaks/ERR868171_treat_pileup.bdg.gz	results/chipseq/production/analyses/ERR868171/artifacts/peaks/ERR868171_control_lambda.bdg.gz	0.01	NA	all	not_performed	not_performed_or_not_supported_by_validated_groups	0.6091649518451868	0.038738859071023334	d5cc76e167a02dc2b90ac7a1e77f0c9394cb314413a8d51f96624f95fac5de27	290c35dcec4b76c258b2788a4adbc6940654d04f	PASS
ERR868172	PRJEB9291	ERR868172	ERR868177	H3K27me3	broad	150	CriGri-PICRH-1.0	GCF_003668045.3	NC_007936.1	2366634374	results/chipseq/production/analyses/ERR868172/artifacts/peaks/ERR868172_peaks.broadPeak	broadPeak	results/chipseq/production/analyses/ERR868172/artifacts/peaks/ERR868172_treat_pileup.bdg.gz	results/chipseq/production/analyses/ERR868172/artifacts/peaks/ERR868172_control_lambda.bdg.gz	0.01	0.1	all	not_performed	not_performed_or_not_supported_by_validated_groups	0.20661646078417265	0.03994772558827475	55f53f9af8f54c858a2aca0cea592caff978c51282e2f396e478cc00cf7446c9	290c35dcec4b76c258b2788a4adbc6940654d04f	PASS
ERR868173	PRJEB9291	ERR868173	ERR868177	H3K36me3	broad	190	CriGri-PICRH-1.0	GCF_003668045.3	NC_007936.1	2366634374	results/chipseq/production/analyses/ERR868173/artifacts/peaks/ERR868173_peaks.broadPeak	broadPeak	results/chipseq/production/analyses/ERR868173/artifacts/peaks/ERR868173_treat_pileup.bdg.gz	results/chipseq/production/analyses/ERR868173/artifacts/peaks/ERR868173_control_lambda.bdg.gz	0.01	0.1	all	not_performed	not_performed_or_not_supported_by_validated_groups	0.7769038147395612	0.08922885320655045	03c5d6f0b514aff250db727217e7945cf85362fcd6b085e9208d454be6c8c1d9	290c35dcec4b76c258b2788a4adbc6940654d04f	PASS
ERR868174	PRJEB9291	ERR868174	ERR868177	H3K4me1	broad	160	CriGri-PICRH-1.0	GCF_003668045.3	NC_007936.1	2366634374	results/chipseq/production/analyses/ERR868174/artifacts/peaks/ERR868174_peaks.broadPeak	broadPeak	results/chipseq/production/analyses/ERR868174/artifacts/peaks/ERR868174_treat_pileup.bdg.gz	results/chipseq/production/analyses/ERR868174/artifacts/peaks/ERR868174_control_lambda.bdg.gz	0.01	0.1	all	not_performed	not_performed_or_not_supported_by_validated_groups	0.4384842778400181	0.05494023209515528	fa8dd1d4d088fedd1cdddc8bc15ba7cbfb5c7f7e5c4014a9e685e300d3e0fb52	290c35dcec4b76c258b2788a4adbc6940654d04f	PASS
